Census_Year,State_Code,State_Name,Region,No_Of_HH,Population,Avg_HH_Population
2011,00,INDIA (00),Total,248408494,1200536286,4.8
2011,00,INDIA (00),Rural,168078743,828393569,4.9
2011,00,INDIA (00),Urban,80329751,372142717,4.6
2011,01,State - JAMMU & KASHMIR (01),Total,2104533,12165603,5.8
2011,01,State - JAMMU & KASHMIR (01),Rural,1546860,8952823,5.8
2011,01,State - JAMMU & KASHMIR (01),Urban,557673,3212780,5.8
2011,02,State - HIMACHAL PRADESH (02),Total,1479208,6797972,4.6
2011,02,State - HIMACHAL PRADESH (02),Rural,1309686,6132385,4.7
2011,02,State - HIMACHAL PRADESH (02),Urban,169522,665587,3.9
2011,03,State - PUNJAB (03),Total,5486851,27515438,5.0
2011,03,State - PUNJAB (03),Rural,3344978,17258524,5.2
2011,03,State - PUNJAB (03),Urban,2141873,10256914,4.8
2011,04,Union Territory - CHANDIGARH (04),Total,239656,1032031,4.3
2011,04,Union Territory - CHANDIGARH (04),Rural,7137,28967,4.1
2011,04,Union Territory - CHANDIGARH (04),Urban,232519,1003064,4.3
2011,05,State - UTTARAKHAND (05),Total,2046109,9970264,4.9
2011,05,State - UTTARAKHAND (05),Rural,1420449,6988613,4.9
2011,05,State - UTTARAKHAND (05),Urban,625660,2981651,4.8
2011,06,State - HARYANA (06),Total,4835765,25186786,5.2
2011,06,State - HARYANA (06),Rural,3033695,16434386,5.4
2011,06,State - HARYANA (06),Urban,1802070,8752400,4.9
2011,07,State - NCT OF DELHI (07),Total,3407586,16657938,4.9
2011,07,State - NCT OF DELHI (07),Rural,79411,417703,5.3
2011,07,State - NCT OF DELHI (07),Urban,3328175,16240235,4.9
2011,08,State - RAJASTHAN (08),Total,12651423,68115321,5.4
2011,08,State - RAJASTHAN (08),Rural,9462395,51286261,5.4
2011,08,State - RAJASTHAN (08),Urban,3189028,16829060,5.3
2011,09,State - UTTAR PRADESH (09),Total,33232433,198456788,6.0
2011,09,State - UTTAR PRADESH (09),Rural,25564125,154581798,6.0
2011,09,State - UTTAR PRADESH (09),Urban,7668308,43874990,5.7
2011,10,State - BIHAR (10),Total,18867444,103788375,5.5
2011,10,State - BIHAR (10),Rural,16827481,92115503,5.5
2011,10,State - BIHAR (10),Urban,2039963,11672872,5.7
2011,11,State - SIKKIM (11),Total,128115,588238,4.6
2011,11,State - SIKKIM (11),Rural,92659,439984,4.7
2011,11,State - SIKKIM (11),Urban,35456,148254,4.2
2011,12,State - ARUNACHAL PRADESH (12),Total,266645,1336955,5.0
2011,12,State - ARUNACHAL PRADESH (12),Rural,197385,1032102,5.2
2011,12,State - ARUNACHAL PRADESH (12),Urban,69260,304853,4.4
2011,13,State - NAGALAND (13),Total,393165,1936856,4.9
2011,13,State - NAGALAND (13),Rural,276085,1386595,5.0
2011,13,State - NAGALAND (13),Urban,117080,550261,4.7
2011,14,State - MANIPUR (14),Total,555234,2817799,5.1
2011,14,State - MANIPUR (14),Rural,383773,1994662,5.2
2011,14,State - MANIPUR (14),Urban,171461,823137,4.8
2011,15,State - MIZORAM (15),Total,222079,1080227,4.9
2011,15,State - MIZORAM (15),Rural,105638,522377,4.9
2011,15,State - MIZORAM (15),Urban,116441,557850,4.8
2011,16,State - TRIPURA (16),Total,852000,3625232,4.3
2011,16,State - TRIPURA (16),Rural,614197,2678408,4.4
2011,16,State - TRIPURA (16),Urban,237803,946824,4.0
2011,17,State - MEGHALAYA (17),Total,546096,2939867,5.4
2011,17,State - MEGHALAYA (17),Rural,429276,2358086,5.5
2011,17,State - MEGHALAYA (17),Urban,116820,581781,5.0
2011,18,State - ASSAM (18),Total,6387047,31035763,4.9
2011,18,State - ASSAM (18),Rural,5406784,26682716,4.9
2011,18,State - ASSAM (18),Urban,980263,4353047,4.4
2011,19,State - WEST BENGAL (19),Total,20309872,90780198,4.5
2011,19,State - WEST BENGAL (19),Rural,13784414,62000743,4.5
2011,19,State - WEST BENGAL (19),Urban,6525458,28779455,4.4
2011,20,State - JHARKHAND (20),Total,6237147,32809182,5.3
2011,20,State - JHARKHAND (20),Rural,4718522,24949128,5.3
2011,20,State - JHARKHAND (20),Urban,1518625,7860054,5.2
2011,21,State - ODISHA (21),Total,9605629,41422615,4.3
2011,21,State - ODISHA (21),Rural,8069620,34580990,4.3
2011,21,State - ODISHA (21),Urban,1536009,6841625,4.5
2011,22,State - CHHATTISGARH (22),Total,5633422,25285239,4.5
2011,22,State - CHHATTISGARH (22),Rural,4354036,19427977,4.5
2011,22,State - CHHATTISGARH (22),Urban,1279386,5857262,4.6
2011,23,State - MADHYA PRADESH (23),Total,15019706,72061795,4.8
2011,23,State - MADHYA PRADESH (23),Rural,11041438,52272465,4.7
2011,23,State - MADHYA PRADESH (23),Urban,3978268,19789330,5.0
2011,24,State - GUJARAT (24),Total,12193328,59996179,4.9
2011,24,State - GUJARAT (24),Rural,6752275,34488314,5.1
2011,24,State - GUJARAT (24),Urban,5441053,25507865,4.7
2011,25,Union Territory - DAMAN & DIU (25),Total,60734,241631,4.0
2011,25,Union Territory - DAMAN & DIU (25),Rural,12696,59881,4.7
2011,25,Union Territory - DAMAN & DIU (25),Urban,48038,181750,3.8
2011,26,Union Territory - DADRA & NAGAR HAVELI (26),Total,76121,339603,4.5
2011,26,Union Territory - DADRA & NAGAR HAVELI (26),Rural,35856,179714,5.0
2011,26,Union Territory - DADRA & NAGAR HAVELI (26),Urban,40265,159889,4.0
2011,27,State - MAHARASHTRA (27),Total,24296607,111147778,4.6
2011,27,State - MAHARASHTRA (27),Rural,13161832,60898260,4.6
2011,27,State - MAHARASHTRA (27),Urban,11134775,50249518,4.5
2011,28,State - ANDHRA PRADESH (28),Total,20927188,83232560,4.0
2011,28,State - ANDHRA PRADESH (28),Rural,14190615,55591999,3.9
