Census_Year,State_Code,State_Name,Region,Seniors_In_HH,Total_HH,Male_All,Female_All,Households_One,Male_One,Female_One,Households_Two,Male_Two,Female_Two,Households_Three,Male_Three,Female_Three,Households_Four,Male_Four,Female_Four,Households_Five,Male_Five,Female_Five,Households_Six,Male_Six,Female_Six,Households_Seven_Plus,Male_Seven_Plus,Female_Seven_Plus
2011,0,INDIA (00),Total,Total,"24,885,8281","50,918508","52,628399","10,305205","13,52233","36,23900","24,184214","81,68267","7,134131","34,434895","50,70226","43,85320","56,895367","5,561169","5,579919","46,286721","6,849081","8,565264","30,975169","75,09090","79,88869","45,776710","16,408442","15,350996"
2011,0,INDIA (00),Total,None,170931793,0,0,5329072,0,0,13954712,0,0,27234397,0,0,47817540,0,0,33598121,0,0,19367411,0,0,23630540,0,0
2011,0,INDIA (00),Total,1,53660948,26179010,27481938,4976133,1352233,3623900,5156606,3162542,1994064,5080538,2928646,2151892,7115089,3566897,3548192,10070130,4207662,5862468,7866081,3740785,4125296,13396371,7220245,6176126
2011,0,INDIA (00),Total,2,23072530,22952048,23193012,0,0,0,5072896,5005725,5140067,1984872,1973470,1996274,1871182,1864875,1877489,2519316,2498570,2540062,3603698,3567176,3640220,8020566,8042232,7998900
2011,0,INDIA (00),Total,3,1067904,1512258,1691454,0,0,0,0,0,0,135088,168110,237154,82589,112645,135122,91969,128447,147460,128986,182182,204776,629272,920874,966942
2011,0,INDIA (00),Total,4+,125106,275192,261995,0,0,0,0,0,0,0,0,0,8967,16752,19116,7185,14402,15274,8993,18947,18577,99961,225091,209028
2011,0,INDIA (00),Rural,Total,168271634,35921940,37218591,7178260,1034750,2801179,16547873,6082443,5313234,21475355,3417639,3034841,35517705,3659774,3654323,31534348,4498656,5571759,22253178,5153978,5550592,33764915,12074700,11292663
2011,0,INDIA (00),Rural,None,113593183,0,0,3342331,0,0,9036487,0,0,16628141,0,0,29636615,0,0,23250468,0,0,14158866,0,0,17540275,0,0
2011,0,INDIA (00),Rural,1,37158328,18037639,19120689,3835929,1034750,2801179,3627095,2241026,1386069,3336532,1887587,1448945,4512139,2269473,2242666,6565161,2761985,3803176,5577449,2616594,2960855,9704023,5226224,4477799
2011,0,INDIA (00),Rural,2,16683180,16628262,16738098,0,0,0,3884291,3841417,3927165,1416098,1411208,1420988,1310046,1306979,1313113,1655139,1645865,1664413,2429098,2409502,2448694,5988508,6013291,5963725
