,Census_Year,State_Code,State_Name,Region,No_Of_HH,Population,Avg_HH_Population
0,2001,0.0,INDIA,TOTAL,192671808,1018865868,5.3
1,2001,0.0,INDIA,RURAL,137235518,737283492,5.4
2,2001,0.0,INDIA,URBAN,55436290,281582376,5.1
3,2001,1.0,JAMMU & KASHMIR,TOTAL,1559544,9909389,6.4
4,2001,1.0,JAMMU & KASHMIR,RURAL,1162451,7524054,6.5
5,2001,1.0,JAMMU & KASHMIR,URBAN,397093,2385335,6.0
6,2001,2.0,HIMACHAL PRADESH,TOTAL,1217428,6018052,4.9
7,2001,2.0,HIMACHAL PRADESH,RURAL,1076660,5441551,5.1
8,2001,2.0,HIMACHAL PRADESH,URBAN,140768,576501,4.1
9,2001,3.0,PUNJAB,TOTAL,4329786,24142135,5.6
10,2001,3.0,PUNJAB,RURAL,2787208,15996372,5.7
11,2001,3.0,PUNJAB,URBAN,1542578,8145763,5.3
12,2001,4.0,CHANDIGARH,TOTAL,205135,881403,4.3
13,2001,4.0,CHANDIGARH,RURAL,22532,91917,4.1
14,2001,4.0,CHANDIGARH,URBAN,182603,789486,4.3
15,2001,5.0,UTTARANCHAL,TOTAL,1593522,8367115,5.3
16,2001,5.0,UTTARANCHAL,RURAL,1181051,6262276,5.3
17,2001,5.0,UTTARANCHAL,URBAN,412471,2104839,5.1
18,2001,6.0,HARYANA,TOTAL,3693601,20966946,5.7
19,2001,6.0,HARYANA,RURAL,2531035,14929718,5.9
20,2001,6.0,HARYANA,URBAN,1162566,6037228,5.2
21,2001,7.0,DELHI,TOTAL,2718050,13718579,5.0
22,2001,7.0,DELHI,RURAL,179343,939240,5.2
23,2001,7.0,DELHI,URBAN,2538707,12779339,5.0
24,2001,8.0,RAJASTHAN,TOTAL,9269237,56056280,6.0
25,2001,8.0,RAJASTHAN,RURAL,7025533,43059199,6.1
26,2001,8.0,RAJASTHAN,URBAN,2243704,12997081,5.8
27,2001,9.0,UTTAR PRADESH,TOTAL,25644759,165229420,6.4
28,2001,9.0,UTTAR PRADESH,RURAL,20306323,131138165,6.5
29,2001,9.0,UTTAR PRADESH,URBAN,5338436,34091255,6.4
30,2001,10.0,BIHAR,TOTAL,13714601,82682175,6.0
31,2001,10.0,BIHAR,RURAL,12386653,74121642,6.0
32,2001,10.0,BIHAR,URBAN,1327948,8560533,6.4
33,2001,11.0,SIKKIM,TOTAL,113917,536098,4.7
34,2001,11.0,SIKKIM,RURAL,100988,477091,4.7
35,2001,11.0,SIKKIM,URBAN,12929,59007,4.6
36,2001,12.0,ARUNACHAL PRADESH,TOTAL,213342,1058305,5.0
37,2001,12.0,ARUNACHAL PRADESH,RURAL,164945,844084,5.1
38,2001,12.0,ARUNACHAL PRADESH,URBAN,48397,214221,4.4
39,2001,13.0,NAGALAND,TOTAL,325620,1955231,6.0
40,2001,13.0,NAGALAND,RURAL,261535,1623732,6.2
41,2001,13.0,NAGALAND,URBAN,64085,331499,5.2
42,2001,14.0,MANIPUR,TOTAL,372956,2134482,5.7
43,2001,14.0,MANIPUR,RURAL,271419,1565730,5.8
44,2001,14.0,MANIPUR,URBAN,101537,568752,5.6
45,2001,15.0,MIZORAM,TOTAL,175544,879419,5.0
46,2001,15.0,MIZORAM,RURAL,86779,446066,5.1
47,2001,15.0,MIZORAM,URBAN,88765,433353,4.9
48,2001,16.0,TRIPURA,TOTAL,663416,3186602,4.8
49,2001,16.0,TRIPURA,RURAL,539057,2644055,4.9
50,2001,16.0,TRIPURA,URBAN,124359,542547,4.4
51,2001,17.0,MEGHALAYA,TOTAL,416791,2290756,5.5
52,2001,17.0,MEGHALAYA,RURAL,331622,1846984,5.6
53,2001,17.0,MEGHALAYA,URBAN,85169,443772,5.2
54,2001,18.0,ASSAM,TOTAL,4898497,26445313,5.4
55,2001,18.0,ASSAM,RURAL,4192432,23092269,5.5
56,2001,18.0,ASSAM,URBAN,706065,3353044,4.7
57,2001,19.0,WEST BENGAL,TOTAL,15820386,79597757,5.0
58,2001,19.0,WEST BENGAL,RURAL,11251489,57520117,5.1
59,2001,19.0,WEST BENGAL,URBAN,4568897,22077640,4.8
60,2001,20.0,JHARKHAND,TOTAL,4786657,26753265,5.6
61,2001,20.0,JHARKHAND,RURAL,3729226,20849031,5.6
62,2001,20.0,JHARKHAND,URBAN,1057431,5904234,5.6
63,2001,21.0,ORISSA,TOTAL,7707106,36432680,4.7
64,2001,21.0,ORISSA,RURAL,6599251,31044529,4.7
65,2001,21.0,ORISSA,URBAN,1107855,5388151,4.9
66,2001,22.0,CHHATTISGARH,TOTAL,4077273,20687668,5.1
67,2001,22.0,CHHATTISGARH,RURAL,3262998,16546113,5.1
68,2001,22.0,CHHATTISGARH,URBAN,814275,4141555,5.1
69,2001,23.0,MADHYA PRADESH,TOTAL,10839740,59817142,5.5
70,2001,23.0,MADHYA PRADESH,RURAL,7947386,44070697,5.5
71,2001,23.0,MADHYA PRADESH,URBAN,2892354,15746445,5.4
72,2001,24.0,GUJARAT,TOTAL,9619796,49990369,5.2
73,2001,24.0,GUJARAT,RURAL,5897063,31325672,5.3
74,2001,24.0,GUJARAT,URBAN,3722733,18664697,5.0
75,2001,25.0,DAMAN & DIU,TOTAL,35330,155527,4.4
76,2001,25.0,DAMAN & DIU,RURAL,22989,99103,4.3
77,2001,25.0,DAMAN & DIU,URBAN,12341,56424,4.6
78,2001,26.0,DADRA & NAGAR HAVELI,TOTAL,45125,214675,4.8
79,2001,26.0,DADRA & NAGAR HAVELI,RURAL,33548,164641,4.9
80,2001,26.0,DADRA & NAGAR HAVELI,URBAN,11577,50034,4.3
81,2001,27.0,MAHARASHTRA,TOTAL,19434335,95512531,5.0
82,2001,27.0,MAHARASHTRA,RURAL,11089887,54997128,5.0
83,2001,27.0,MAHARASHTRA,URBAN,8344448,40515403,5.0
84,2001,28.0,ANDHRA PRADESH,TOTAL,16920613,75051872,4.4
85,2001,28.0,ANDHRA PRADESH,RURAL,12559817,54673902,4.4
86,2001,28.0,ANDHRA PRADESH,URBAN,4360796,20377970,4.7
87,2001,29.0,KARNATAKA,TOTAL,10354059,52264963,5.0
88,2001,29.0,KARNATAKA,RURAL,6701260,34623833,5.2
89,2001,29.0,KARNATAKA,URBAN,3652799,17641130,4.8
90,2001,30.0,GOA,TOTAL,292365,1325081,4.5
91,2001,30.0,GOA,RURAL,144214,669509,4.6
92,2001,30.0,GOA,URBAN,148151,655572,4.4
93,2001,31.0,LAKSHADWEEP,TOTAL,9957,59717,6.0
94,2001,31.0,LAKSHADWEEP,RURAL,5651,33395,5.9
95,2001,31.0,LAKSHADWEEP,URBAN,4306,26322,6.1
96,2001,32.0,KERALA,TOTAL,6707811,31596834,4.7
97,2001,32.0,KERALA,RURAL,4999330,23429163,4.7
98,2001,32.0,KERALA,URBAN,1708481,8167671,4.8
99,2001,33.0,TAMIL NADU,TOTAL,14603541,61639281,4.2
100,2001,33.0,TAMIL NADU,RURAL,8259489,34633118,4.2
101,2001,33.0,TAMIL NADU,URBAN,6344052,27006163,4.3
102,2001,34.0,PONDICHERRY,TOTAL,214390,960942,4.5
103,2001,34.0,PONDICHERRY,RURAL,72791,323447,4.4
104,2001,34.0,PONDICHERRY,URBAN,141599,637495,4.5
105,2001,35.0,ANDAMAN & NICOBAR ISLANDS,TOTAL,77578,347864,4.5
106,2001,35.0,ANDAMAN & NICOBAR ISLANDS,RURAL,51563,235949,4.6
107,2001,35.0,ANDAMAN & NICOBAR ISLANDS,URBAN,26015,111915,4.3
108,2011,0.0,INDIA,TOTAL,248408494,1200536286,4.8
109,2011,0.0,INDIA,RURAL,168078743,828393569,4.9
110,2011,0.0,INDIA,URBAN,80329751,372142717,4.6
111,2011,1.0,JAMMU & KASHMIR,TOTAL,2104533,12165603,5.8
