,Census_Year,State_Code,State_Name,Region,People_Cons_HH,No_Of_HH,Seniors_In_HH,Senior_Male,Senior_Female
0,2001.0,0.0,INDIA,TOTAL,1.0,7645295,Total,929974,2138823
1,2001.0,0.0,INDIA,TOTAL,2.0,15926266,Total,4441297,3915165
2,2001.0,0.0,INDIA,TOTAL,3.0,22534494,Total,3099899,2801071
3,2001.0,0.0,INDIA,TOTAL,4.0,37090534,Total,3583524,3570794
4,2001.0,0.0,INDIA,TOTAL,5.0,35930733,Total,4452761,5377736
5,2001.0,0.0,INDIA,TOTAL,6.0,26187941,Total,4985926,5691498
6,2001.0,0.0,INDIA,TOTAL,7.0,47804097,Total,16145685,15257717
7,2001.0,0.0,INDIA,TOTAL,1.0,4576498,0,0,0
8,2001.0,0.0,INDIA,TOTAL,2.0,10151267,0,0,0
9,2001.0,0.0,INDIA,TOTAL,3.0,17967430,0,0,0
10,2001.0,0.0,INDIA,TOTAL,4.0,31238003,0,0,0
11,2001.0,0.0,INDIA,TOTAL,5.0,27757243,0,0,0
12,2001.0,0.0,INDIA,TOTAL,6.0,17776613,0,0,0
13,2001.0,0.0,INDIA,TOTAL,7.0,25385412,0,0,0
14,2001.0,0.0,INDIA,TOTAL,1.0,3068797,1,929974,2138823
15,2001.0,0.0,INDIA,TOTAL,2.0,3193536,1,1893077,1300459
16,2001.0,0.0,INDIA,TOTAL,3.0,3301194,1,1824350,1476844
17,2001.0,0.0,INDIA,TOTAL,4.0,4605241,1,2323112,2282129
18,2001.0,0.0,INDIA,TOTAL,5.0,6575549,1,2844964,3730585
19,2001.0,0.0,INDIA,TOTAL,6.0,6223551,1,2792964,3430587
20,2001.0,0.0,INDIA,TOTAL,7.0,14149167,1,7522430,6626737
21,2001.0,0.0,INDIA,TOTAL,1.0,0,2,0,0
22,2001.0,0.0,INDIA,TOTAL,2.0,2581463,2,2548220,2614706
23,2001.0,0.0,INDIA,TOTAL,3.0,1197834,2,1190605,1205063
24,2001.0,0.0,INDIA,TOTAL,4.0,1197245,2,1191089,1203401
25,2001.0,0.0,INDIA,TOTAL,5.0,1542928,2,1530110,1555746
26,2001.0,0.0,INDIA,TOTAL,6.0,2114088,2,2088617,2139559
27,2001.0,0.0,INDIA,TOTAL,7.0,7660466,2,7667847,7653085
28,2001.0,0.0,INDIA,TOTAL,1.0,0,3,0,0
29,2001.0,0.0,INDIA,TOTAL,2.0,0,3,0,0
30,2001.0,0.0,INDIA,TOTAL,3.0,68036,3,84944,119164
31,2001.0,0.0,INDIA,TOTAL,4.0,45593,3,61171,75608
32,2001.0,0.0,INDIA,TOTAL,5.0,51416,3,70498,83750
33,2001.0,0.0,INDIA,TOTAL,6.0,69566,3,96123,112575
34,2001.0,0.0,INDIA,TOTAL,7.0,528448,3,773033,812311
35,2001.0,0.0,INDIA,TOTAL,1.0,0,4+,0,0
36,2001.0,0.0,INDIA,TOTAL,2.0,0,4+,0,0
37,2001.0,0.0,INDIA,TOTAL,3.0,0,4+,0,0
38,2001.0,0.0,INDIA,TOTAL,4.0,4452,4+,8152,9656
39,2001.0,0.0,INDIA,TOTAL,5.0,3597,4+,7189,7655
40,2001.0,0.0,INDIA,TOTAL,6.0,4123,4+,8222,8777
41,2001.0,0.0,INDIA,TOTAL,7.0,80604,4+,182375,165584
42,2001.0,0.0,INDIA,RURAL,1.0,5473994,Total,746957,1728940
43,2001.0,0.0,INDIA,RURAL,2.0,11523535,Total,3506020,3085108
44,2001.0,0.0,INDIA,RURAL,3.0,15199922,Total,2260154,2092821
45,2001.0,0.0,INDIA,RURAL,4.0,24585604,Total,2568898,2567864
46,2001.0,0.0,INDIA,RURAL,5.0,25239905,Total,3175100,3775114
47,2001.0,0.0,INDIA,RURAL,6.0,19245245,Total,3632285,4152422
48,2001.0,0.0,INDIA,RURAL,7.0,36227055,Total,12406130,11627715
49,2001.0,0.0,INDIA,RURAL,1.0,2998097,0,0,0
50,2001.0,0.0,INDIA,RURAL,2.0,7015436,0,0,0
51,2001.0,0.0,INDIA,RURAL,3.0,11863487,0,0,0
52,2001.0,0.0,INDIA,RURAL,4.0,20428461,0,0,0
53,2001.0,0.0,INDIA,RURAL,5.0,19491258,0,0,0
54,2001.0,0.0,INDIA,RURAL,6.0,13087687,0,0,0
55,2001.0,0.0,INDIA,RURAL,7.0,19151151,0,0,0
56,2001.0,0.0,INDIA,RURAL,1.0,2475897,1,746957,1728940
57,2001.0,0.0,INDIA,RURAL,2.0,2425070,1,1445503,979567
58,2001.0,0.0,INDIA,RURAL,3.0,2370039,1,1285074,1084965
59,2001.0,0.0,INDIA,RURAL,4.0,3215186,1,1618057,1597129
60,2001.0,0.0,INDIA,RURAL,5.0,4587936,1,2006824,2581112
61,2001.0,0.0,INDIA,RURAL,6.0,4584610,1,2053605,2531005
62,2001.0,0.0,INDIA,RURAL,7.0,10658579,1,5709853,4948726
63,2001.0,0.0,INDIA,RURAL,1.0,0,2,0,0
64,2001.0,0.0,INDIA,RURAL,2.0,2083029,2,2060517,2105541
65,2001.0,0.0,INDIA,RURAL,3.0,916252,2,912019,920485
66,2001.0,0.0,INDIA,RURAL,4.0,907089,2,902629,911549
67,2001.0,0.0,INDIA,RURAL,5.0,1122193,2,1114339,1130047
68,2001.0,0.0,INDIA,RURAL,6.0,1521528,2,1506060,1536996
69,2001.0,0.0,INDIA,RURAL,7.0,5951332,2,5966634,5936030
70,2001.0,0.0,INDIA,RURAL,1.0,0,3,0,0
71,2001.0,0.0,INDIA,RURAL,2.0,0,3,0,0
72,2001.0,0.0,INDIA,RURAL,3.0,50144,3,63061,87371
73,2001.0,0.0,INDIA,RURAL,4.0,32074,3,43003,53219
74,2001.0,0.0,INDIA,RURAL,5.0,36406,3,49644,59574
75,2001.0,0.0,INDIA,RURAL,6.0,48860,3,67535,79045
76,2001.0,0.0,INDIA,RURAL,7.0,406667,3,598089,621912
77,2001.0,0.0,INDIA,RURAL,1.0,0,4+,0,0
78,2001.0,0.0,INDIA,RURAL,2.0,0,4+,0,0
79,2001.0,0.0,INDIA,RURAL,3.0,0,4+,0,0
80,2001.0,0.0,INDIA,RURAL,4.0,2794,4+,5209,5967
81,2001.0,0.0,INDIA,RURAL,5.0,2112,4+,4293,4381
82,2001.0,0.0,INDIA,RURAL,6.0,2560,4+,5085,5376
83,2001.0,0.0,INDIA,RURAL,7.0,59326,4+,131554,121047
84,2001.0,0.0,INDIA,URBAN,1.0,2171301,Total,183017,409883
85,2001.0,0.0,INDIA,URBAN,2.0,4402731,Total,935277,830057
86,2001.0,0.0,INDIA,URBAN,3.0,7334572,Total,839745,708250
87,2001.0,0.0,INDIA,URBAN,4.0,12504930,Total,1014626,1002930
88,2001.0,0.0,INDIA,URBAN,5.0,10690828,Total,1277661,1602622
89,2001.0,0.0,INDIA,URBAN,6.0,6942696,Total,1353641,1539076
90,2001.0,0.0,INDIA,URBAN,7.0,11577042,Total,3739555,3630002
91,2001.0,0.0,INDIA,URBAN,1.0,1578401,0,0,0
92,2001.0,0.0,INDIA,URBAN,2.0,3135831,0,0,0
93,2001.0,0.0,INDIA,URBAN,3.0,6103943,0,0,0
94,2001.0,0.0,INDIA,URBAN,4.0,10809542,0,0,0
95,2001.0,0.0,INDIA,URBAN,5.0,8265985,0,0,0
